id,silicon_data_source,backend,backend_version,model_path,system,precision,mode,isl,osl,gemm_quant_mode,moe_quant_mode,batch_size,tp_size,pp_size,attention_dp_size,moe_tp_size,moe_ep_size,prefill_batch_size,prefill_num_workers,prefill_tp_size,prefill_pp_size,prefill_attention_dp_size,prefill_moe_tp_size,prefill_moe_ep_size,decode_batch_size,decode_num_workers,decode_tp_size,decode_pp_size,decode_attention_dp_size,decode_moe_tp_size,decode_moe_ep_size,silicon_ttft_ms,silicon_tpot_ms
minimaxm2_5_b300_vllm_fp8_agg_8192x1024_c128_cfg733,db-dump/2026-04-27; config_id=733; silicon_concurrency=128; measured=2026-04-17T00:00:00.000Z; workflow_run_id=758; vllm/vllm-openai:v0.19.0-cu130,vllm,0.19.0,MiniMaxAI/MiniMax-M2.5,b300_sxm,fp8,agg,8192,1024,fp8,fp8,128,4,1,1,4,1,,,,,,,,,,,,,,,972.3109823355117,33.442908754168066
minimaxm2_5_b300_vllm_fp8_agg_8192x1024_c64_cfg733,db-dump/2026-04-27; config_id=733; silicon_concurrency=64; measured=2026-04-17T00:00:00.000Z; workflow_run_id=758; vllm/vllm-openai:v0.19.0-cu130,vllm,0.19.0,MiniMaxAI/MiniMax-M2.5,b300_sxm,fp8,agg,8192,1024,fp8,fp8,64,4,1,1,4,1,,,,,,,,,,,,,,,574.7649501262686,22.72522575905689
minimaxm2_5_b300_vllm_fp8_agg_1024x1024_c4_cfg733,db-dump/2026-04-27; config_id=733; silicon_concurrency=4; measured=2026-04-21T00:00:00.000Z; workflow_run_id=797; vllm/vllm-openai:v0.19.0-cu130,vllm,0.19.0,MiniMaxAI/MiniMax-M2.5,b300_sxm,fp8,agg,1024,1024,fp8,fp8,4,4,1,1,4,1,,,,,,,,,,,,,,,52.01477759692352,7.887534757407803
minimaxm2_5_b300_vllm_fp8_agg_8192x1024_c512_cfg733,db-dump/2026-04-27; config_id=733; silicon_concurrency=512; measured=2026-04-17T00:00:00.000Z; workflow_run_id=758; vllm/vllm-openai:v0.19.0-cu130,vllm,0.19.0,MiniMaxAI/MiniMax-M2.5,b300_sxm,fp8,agg,8192,1024,fp8,fp8,512,4,1,1,4,1,,,,,,,,,,,,,,,3296.247510273788,94.1478952114658
minimaxm2_5_b300_vllm_fp8_agg_1024x1024_c16_cfg733,db-dump/2026-04-27; config_id=733; silicon_concurrency=16; measured=2026-04-21T00:00:00.000Z; workflow_run_id=797; vllm/vllm-openai:v0.19.0-cu130,vllm,0.19.0,MiniMaxAI/MiniMax-M2.5,b300_sxm,fp8,agg,1024,1024,fp8,fp8,16,4,1,1,4,1,,,,,,,,,,,,,,,70.73276526280097,9.966356142065498
minimaxm2_5_b300_vllm_fp8_agg_1024x1024_c512_cfg733,db-dump/2026-04-27; config_id=733; silicon_concurrency=512; measured=2026-04-17T00:00:00.000Z; workflow_run_id=758; vllm/vllm-openai:v0.19.0-cu130,vllm,0.19.0,MiniMaxAI/MiniMax-M2.5,b300_sxm,fp8,agg,1024,1024,fp8,fp8,512,4,1,1,4,1,,,,,,,,,,,,,,,763.6384090084221,36.265000674579625
minimaxm2_5_b300_vllm_fp8_agg_1024x1024_c8_cfg732,db-dump/2026-04-27; config_id=732; silicon_concurrency=8; measured=2026-04-17T00:00:00.000Z; workflow_run_id=758; vllm/vllm-openai:v0.19.0-cu130,vllm,0.19.0,MiniMaxAI/MiniMax-M2.5,b300_sxm,fp8,agg,1024,1024,fp8,fp8,8,2,1,1,2,1,,,,,,,,,,,,,,,81.99712121213452,10.78950567990983
minimaxm2_5_b300_vllm_fp8_agg_1024x1024_c128_cfg732,db-dump/2026-04-27; config_id=732; silicon_concurrency=128; measured=2026-04-17T00:00:00.000Z; workflow_run_id=758; vllm/vllm-openai:v0.19.0-cu130,vllm,0.19.0,MiniMaxAI/MiniMax-M2.5,b300_sxm,fp8,agg,1024,1024,fp8,fp8,128,2,1,1,2,1,,,,,,,,,,,,,,,300.0447571149323,27.777422854529515
minimaxm2_5_b300_vllm_fp8_agg_1024x1024_c16_cfg732,db-dump/2026-04-27; config_id=732; silicon_concurrency=16; measured=2026-04-17T00:00:00.000Z; workflow_run_id=758; vllm/vllm-openai:v0.19.0-cu130,vllm,0.19.0,MiniMaxAI/MiniMax-M2.5,b300_sxm,fp8,agg,1024,1024,fp8,fp8,16,2,1,1,2,1,,,,,,,,,,,,,,,101.69130359972769,13.361676196086377
minimaxm2_5_b300_vllm_fp8_agg_1024x1024_c4_cfg732,db-dump/2026-04-27; config_id=732; silicon_concurrency=4; measured=2026-04-17T00:00:00.000Z; workflow_run_id=758; vllm/vllm-openai:v0.19.0-cu130,vllm,0.19.0,MiniMaxAI/MiniMax-M2.5,b300_sxm,fp8,agg,1024,1024,fp8,fp8,4,2,1,1,2,1,,,,,,,,,,,,,,,71.18893442457193,9.37926230347343
minimaxm2_5_b300_vllm_fp8_agg_1024x1024_c32_cfg732,db-dump/2026-04-27; config_id=732; silicon_concurrency=32; measured=2026-04-17T00:00:00.000Z; workflow_run_id=758; vllm/vllm-openai:v0.19.0-cu130,vllm,0.19.0,MiniMaxAI/MiniMax-M2.5,b300_sxm,fp8,agg,1024,1024,fp8,fp8,32,2,1,1,2,1,,,,,,,,,,,,,,,136.1020657720701,17.770086641214615
minimaxm2_5_b300_vllm_fp8_agg_1024x1024_c256_cfg732,db-dump/2026-04-27; config_id=732; silicon_concurrency=256; measured=2026-04-17T00:00:00.000Z; workflow_run_id=758; vllm/vllm-openai:v0.19.0-cu130,vllm,0.19.0,MiniMaxAI/MiniMax-M2.5,b300_sxm,fp8,agg,1024,1024,fp8,fp8,256,2,1,1,2,1,,,,,,,,,,,,,,,528.1205729088697,37.138091668552576
minimaxm2_5_b300_vllm_fp8_agg_8192x1024_c256_cfg732,db-dump/2026-04-27; config_id=732; silicon_concurrency=256; measured=2026-04-21T00:00:00.000Z; workflow_run_id=797; vllm/vllm-openai:v0.19.0-cu130,vllm,0.19.0,MiniMaxAI/MiniMax-M2.5,b300_sxm,fp8,agg,8192,1024,fp8,fp8,256,2,1,1,2,1,,,,,,,,,,,,,,,2198.367655904258,77.21778763430889
minimaxm2_5_b300_vllm_fp8_agg_8192x1024_c8_cfg732,db-dump/2026-04-27; config_id=732; silicon_concurrency=8; measured=2026-04-17T00:00:00.000Z; workflow_run_id=758; vllm/vllm-openai:v0.19.0-cu130,vllm,0.19.0,MiniMaxAI/MiniMax-M2.5,b300_sxm,fp8,agg,8192,1024,fp8,fp8,8,2,1,1,2,1,,,,,,,,,,,,,,,281.4942929380777,11.850787326276368
minimaxm2_5_b300_vllm_fp8_agg_1024x1024_c512_cfg732,db-dump/2026-04-27; config_id=732; silicon_concurrency=512; measured=2026-04-17T00:00:00.000Z; workflow_run_id=758; vllm/vllm-openai:v0.19.0-cu130,vllm,0.19.0,MiniMaxAI/MiniMax-M2.5,b300_sxm,fp8,agg,1024,1024,fp8,fp8,512,2,1,1,2,1,,,,,,,,,,,,,,,1065.9759904665236,53.203287146748586
minimaxm2_5_b300_vllm_fp8_agg_8192x1024_c64_cfg732,db-dump/2026-04-27; config_id=732; silicon_concurrency=64; measured=2026-04-21T00:00:00.000Z; workflow_run_id=797; vllm/vllm-openai:v0.19.0-cu130,vllm,0.19.0,MiniMaxAI/MiniMax-M2.5,b300_sxm,fp8,agg,8192,1024,fp8,fp8,64,2,1,1,2,1,,,,,,,,,,,,,,,750.3503646389163,31.05205461476946
minimaxm2_5_b300_vllm_fp8_agg_8192x1024_c32_cfg732,db-dump/2026-04-27; config_id=732; silicon_concurrency=32; measured=2026-04-17T00:00:00.000Z; workflow_run_id=758; vllm/vllm-openai:v0.19.0-cu130,vllm,0.19.0,MiniMaxAI/MiniMax-M2.5,b300_sxm,fp8,agg,8192,1024,fp8,fp8,32,2,1,1,2,1,,,,,,,,,,,,,,,524.1451425562445,22.77870419796199
minimaxm2_5_b300_vllm_fp8_agg_1024x1024_c64_cfg732,db-dump/2026-04-27; config_id=732; silicon_concurrency=64; measured=2026-04-17T00:00:00.000Z; workflow_run_id=758; vllm/vllm-openai:v0.19.0-cu130,vllm,0.19.0,MiniMaxAI/MiniMax-M2.5,b300_sxm,fp8,agg,1024,1024,fp8,fp8,64,2,1,1,2,1,,,,,,,,,,,,,,,194.18268926397104,22.225111273163137
minimaxm2_5_b300_vllm_fp8_agg_8192x1024_c16_cfg732,db-dump/2026-04-27; config_id=732; silicon_concurrency=16; measured=2026-04-17T00:00:00.000Z; workflow_run_id=758; vllm/vllm-openai:v0.19.0-cu130,vllm,0.19.0,MiniMaxAI/MiniMax-M2.5,b300_sxm,fp8,agg,8192,1024,fp8,fp8,16,2,1,1,2,1,,,,,,,,,,,,,,,364.8898858314624,15.88157180241869
minimaxm2_5_b300_vllm_fp8_agg_8192x1024_c4_cfg732,db-dump/2026-04-27; config_id=732; silicon_concurrency=4; measured=2026-04-17T00:00:00.000Z; workflow_run_id=758; vllm/vllm-openai:v0.19.0-cu130,vllm,0.19.0,MiniMaxAI/MiniMax-M2.5,b300_sxm,fp8,agg,8192,1024,fp8,fp8,4,2,1,1,2,1,,,,,,,,,,,,,,,227.69198512505682,9.903657019203596
minimaxm2_5_b300_vllm_fp8_agg_8192x1024_c128_cfg732,db-dump/2026-04-27; config_id=732; silicon_concurrency=128; measured=2026-04-21T00:00:00.000Z; workflow_run_id=797; vllm/vllm-openai:v0.19.0-cu130,vllm,0.19.0,MiniMaxAI/MiniMax-M2.5,b300_sxm,fp8,agg,8192,1024,fp8,fp8,128,2,1,1,2,1,,,,,,,,,,,,,,,1234.948477701755,47.35592749944449
minimaxm2_5_b300_vllm_fp8_agg_1024x1024_c512_cfg734,db-dump/2026-04-27; config_id=734; silicon_concurrency=512; measured=2026-04-21T00:00:00.000Z; workflow_run_id=797; vllm/vllm-openai:v0.19.0-cu130,vllm,0.19.0,MiniMaxAI/MiniMax-M2.5,b300_sxm,fp8,agg,1024,1024,fp8,fp8,128,4,1,4,1,16,,,,,,,,,,,,,,,727.8426075309881,31.74447123107922
minimaxm2_5_b300_vllm_fp8_agg_1024x1024_c256_cfg734,db-dump/2026-04-27; config_id=734; silicon_concurrency=256; measured=2026-04-21T00:00:00.000Z; workflow_run_id=797; vllm/vllm-openai:v0.19.0-cu130,vllm,0.19.0,MiniMaxAI/MiniMax-M2.5,b300_sxm,fp8,agg,1024,1024,fp8,fp8,64,4,1,4,1,16,,,,,,,,,,,,,,,362.26821922969066,23.392508817238788
minimaxm2_5_b300_vllm_fp8_agg_1024x1024_c512_cfg735,db-dump/2026-04-27; config_id=735; silicon_concurrency=512; measured=2026-04-21T00:00:00.000Z; workflow_run_id=797; vllm/vllm-openai:v0.19.0-cu130,vllm,0.19.0,MiniMaxAI/MiniMax-M2.5,b300_sxm,fp8,agg,1024,1024,fp8,fp8,256,2,1,2,1,4,,,,,,,,,,,,,,,959.5594940229375,45.454860557557254
minimaxm2_5_b300_vllm_fp8_agg_1024x1024_c1024_cfg735,db-dump/2026-04-27; config_id=735; silicon_concurrency=1024; measured=2026-04-21T00:00:00.000Z; workflow_run_id=797; vllm/vllm-openai:v0.19.0-cu130,vllm,0.19.0,MiniMaxAI/MiniMax-M2.5,b300_sxm,fp8,agg,1024,1024,fp8,fp8,512,2,1,2,1,4,,,,,,,,,,,,,,,3131.995585968332,65.60778596232471
qwen3_5_b300_sglang_fp4_agg_8192x1024_c32_cfg736,db-dump/2026-04-27; config_id=736; silicon_concurrency=32; measured=2026-04-18T00:00:00.000Z; workflow_run_id=765; lmsysorg/sglang:v0.5.10.post1-cu130,sglang,0.5.10.post1,Qwen/Qwen3.5-397B-A17B,b300_sxm,fp4,agg,8192,1024,nvfp4,nvfp4,32,4,1,1,2,2,,,,,,,,,,,,,,,884.3354488529712,17.50581965806086
qwen3_5_b300_sglang_fp4_agg_1024x1024_c64_cfg736,db-dump/2026-04-27; config_id=736; silicon_concurrency=64; measured=2026-04-18T00:00:00.000Z; workflow_run_id=765; lmsysorg/sglang:v0.5.10.post1-cu130,sglang,0.5.10.post1,Qwen/Qwen3.5-397B-A17B,b300_sxm,fp4,agg,1024,1024,nvfp4,nvfp4,64,4,1,1,2,2,,,,,,,,,,,,,,,490.36059286722775,18.602747823872516
qwen3_5_b300_sglang_fp4_agg_1024x1024_c128_cfg736,db-dump/2026-04-27; config_id=736; silicon_concurrency=128; measured=2026-04-18T00:00:00.000Z; workflow_run_id=765; lmsysorg/sglang:v0.5.10.post1-cu130,sglang,0.5.10.post1,Qwen/Qwen3.5-397B-A17B,b300_sxm,fp4,agg,1024,1024,nvfp4,nvfp4,128,4,1,1,2,2,,,,,,,,,,,,,,,668.6560719218749,24.783030543926024
qwen3_5_b300_sglang_fp4_agg_1024x1024_c32_cfg736,db-dump/2026-04-27; config_id=736; silicon_concurrency=32; measured=2026-04-18T00:00:00.000Z; workflow_run_id=765; lmsysorg/sglang:v0.5.10.post1-cu130,sglang,0.5.10.post1,Qwen/Qwen3.5-397B-A17B,b300_sxm,fp4,agg,1024,1024,nvfp4,nvfp4,32,4,1,1,2,2,,,,,,,,,,,,,,,376.8269376844273,14.525770879190835
qwen3_5_b300_sglang_fp4_agg_1024x1024_c8_cfg736,db-dump/2026-04-27; config_id=736; silicon_concurrency=8; measured=2026-04-18T00:00:00.000Z; workflow_run_id=765; lmsysorg/sglang:v0.5.10.post1-cu130,sglang,0.5.10.post1,Qwen/Qwen3.5-397B-A17B,b300_sxm,fp4,agg,1024,1024,nvfp4,nvfp4,8,4,1,1,2,2,,,,,,,,,,,,,,,173.72730061142647,8.785123604939436
qwen3_5_b300_sglang_fp4_agg_8192x1024_c8_cfg736,db-dump/2026-04-27; config_id=736; silicon_concurrency=8; measured=2026-04-18T00:00:00.000Z; workflow_run_id=765; lmsysorg/sglang:v0.5.10.post1-cu130,sglang,0.5.10.post1,Qwen/Qwen3.5-397B-A17B,b300_sxm,fp4,agg,8192,1024,nvfp4,nvfp4,8,4,1,1,2,2,,,,,,,,,,,,,,,370.7271486040554,9.391243818979069
qwen3_5_b300_sglang_fp4_agg_1024x1024_c16_cfg736,db-dump/2026-04-27; config_id=736; silicon_concurrency=16; measured=2026-04-18T00:00:00.000Z; workflow_run_id=765; lmsysorg/sglang:v0.5.10.post1-cu130,sglang,0.5.10.post1,Qwen/Qwen3.5-397B-A17B,b300_sxm,fp4,agg,1024,1024,nvfp4,nvfp4,16,4,1,1,2,2,,,,,,,,,,,,,,,302.1192485564825,11.290955098399929
qwen3_5_b300_sglang_fp4_agg_8192x1024_c4_cfg736,db-dump/2026-04-27; config_id=736; silicon_concurrency=4; measured=2026-04-18T00:00:00.000Z; workflow_run_id=765; lmsysorg/sglang:v0.5.10.post1-cu130,sglang,0.5.10.post1,Qwen/Qwen3.5-397B-A17B,b300_sxm,fp4,agg,8192,1024,nvfp4,nvfp4,4,4,1,1,2,2,,,,,,,,,,,,,,,324.2565130251023,7.594075154677811
qwen3_5_b300_sglang_fp4_agg_8192x1024_c16_cfg736,db-dump/2026-04-27; config_id=736; silicon_concurrency=16; measured=2026-04-18T00:00:00.000Z; workflow_run_id=765; lmsysorg/sglang:v0.5.10.post1-cu130,sglang,0.5.10.post1,Qwen/Qwen3.5-397B-A17B,b300_sxm,fp4,agg,8192,1024,nvfp4,nvfp4,16,4,1,1,2,2,,,,,,,,,,,,,,,609.3953162013349,12.640802023837319
qwen3_5_b300_sglang_fp4_agg_1024x1024_c4_cfg736,db-dump/2026-04-27; config_id=736; silicon_concurrency=4; measured=2026-04-18T00:00:00.000Z; workflow_run_id=765; lmsysorg/sglang:v0.5.10.post1-cu130,sglang,0.5.10.post1,Qwen/Qwen3.5-397B-A17B,b300_sxm,fp4,agg,1024,1024,nvfp4,nvfp4,4,4,1,1,2,2,,,,,,,,,,,,,,,162.1589773996675,7.291581421572572
qwen3_5_b300_sglang_fp4_agg_8192x1024_c128_cfg736,db-dump/2026-04-27; config_id=736; silicon_concurrency=128; measured=2026-04-18T00:00:00.000Z; workflow_run_id=765; lmsysorg/sglang:v0.5.10.post1-cu130,sglang,0.5.10.post1,Qwen/Qwen3.5-397B-A17B,b300_sxm,fp4,agg,8192,1024,nvfp4,nvfp4,128,4,1,1,2,2,,,,,,,,,,,,,,,2123.7415029624885,38.739994094248786
qwen3_5_b300_sglang_fp4_agg_8192x1024_c64_cfg736,db-dump/2026-04-27; config_id=736; silicon_concurrency=64; measured=2026-04-18T00:00:00.000Z; workflow_run_id=765; lmsysorg/sglang:v0.5.10.post1-cu130,sglang,0.5.10.post1,Qwen/Qwen3.5-397B-A17B,b300_sxm,fp4,agg,8192,1024,nvfp4,nvfp4,64,4,1,1,2,2,,,,,,,,,,,,,,,1355.2653899387224,25.111311937229395
qwen3_5_b300_sglang_fp4_agg_1024x1024_c64_cfg737,db-dump/2026-04-27; config_id=737; silicon_concurrency=64; measured=2026-04-18T00:00:00.000Z; workflow_run_id=765; lmsysorg/sglang:v0.5.10.post1-cu130,sglang,0.5.10.post1,Qwen/Qwen3.5-397B-A17B,b300_sxm,fp4,agg,1024,1024,nvfp4,nvfp4,64,4,1,1,4,1,,,,,,,,,,,,,,,394.1350485518342,14.109672580940552
qwen3_5_b300_sglang_fp4_agg_8192x1024_c64_cfg737,db-dump/2026-04-27; config_id=737; silicon_concurrency=64; measured=2026-04-18T00:00:00.000Z; workflow_run_id=765; lmsysorg/sglang:v0.5.10.post1-cu130,sglang,0.5.10.post1,Qwen/Qwen3.5-397B-A17B,b300_sxm,fp4,agg,8192,1024,nvfp4,nvfp4,64,4,1,1,4,1,,,,,,,,,,,,,,,1015.0785434515855,18.97293687410413
qwen3_5_b300_sglang_fp4_agg_1024x1024_c128_cfg737,db-dump/2026-04-27; config_id=737; silicon_concurrency=128; measured=2026-04-18T00:00:00.000Z; workflow_run_id=765; lmsysorg/sglang:v0.5.10.post1-cu130,sglang,0.5.10.post1,Qwen/Qwen3.5-397B-A17B,b300_sxm,fp4,agg,1024,1024,nvfp4,nvfp4,128,4,1,1,4,1,,,,,,,,,,,,,,,523.7855278151528,18.643739818820553
qwen3_5_b300_sglang_fp4_agg_1024x1024_c32_cfg737,db-dump/2026-04-27; config_id=737; silicon_concurrency=32; measured=2026-04-18T00:00:00.000Z; workflow_run_id=765; lmsysorg/sglang:v0.5.10.post1-cu130,sglang,0.5.10.post1,Qwen/Qwen3.5-397B-A17B,b300_sxm,fp4,agg,1024,1024,nvfp4,nvfp4,32,4,1,1,4,1,,,,,,,,,,,,,,,316.5843898249477,11.11318170301719
qwen3_5_b300_sglang_fp4_agg_8192x1024_c16_cfg737,db-dump/2026-04-27; config_id=737; silicon_concurrency=16; measured=2026-04-18T00:00:00.000Z; workflow_run_id=765; lmsysorg/sglang:v0.5.10.post1-cu130,sglang,0.5.10.post1,Qwen/Qwen3.5-397B-A17B,b300_sxm,fp4,agg,8192,1024,nvfp4,nvfp4,16,4,1,1,4,1,,,,,,,,,,,,,,,472.306378068879,9.683085934908245
qwen3_5_b300_sglang_fp4_agg_8192x1024_c4_cfg737,db-dump/2026-04-27; config_id=737; silicon_concurrency=4; measured=2026-04-18T00:00:00.000Z; workflow_run_id=765; lmsysorg/sglang:v0.5.10.post1-cu130,sglang,0.5.10.post1,Qwen/Qwen3.5-397B-A17B,b300_sxm,fp4,agg,8192,1024,nvfp4,nvfp4,4,4,1,1,4,1,,,,,,,,,,,,,,,246.06415220059716,6.427956273448087
qwen3_5_b300_sglang_fp4_agg_8192x1024_c8_cfg737,db-dump/2026-04-27; config_id=737; silicon_concurrency=8; measured=2026-04-18T00:00:00.000Z; workflow_run_id=765; lmsysorg/sglang:v0.5.10.post1-cu130,sglang,0.5.10.post1,Qwen/Qwen3.5-397B-A17B,b300_sxm,fp4,agg,8192,1024,nvfp4,nvfp4,8,4,1,1,4,1,,,,,,,,,,,,,,,313.1526706372824,7.641005020471417
qwen3_5_b300_sglang_fp4_agg_8192x1024_c32_cfg737,db-dump/2026-04-27; config_id=737; silicon_concurrency=32; measured=2026-04-18T00:00:00.000Z; workflow_run_id=765; lmsysorg/sglang:v0.5.10.post1-cu130,sglang,0.5.10.post1,Qwen/Qwen3.5-397B-A17B,b300_sxm,fp4,agg,8192,1024,nvfp4,nvfp4,32,4,1,1,4,1,,,,,,,,,,,,,,,685.2291869125565,13.36040449052032
qwen3_5_b300_sglang_fp4_agg_8192x1024_c128_cfg737,db-dump/2026-04-27; config_id=737; silicon_concurrency=128; measured=2026-04-18T00:00:00.000Z; workflow_run_id=765; lmsysorg/sglang:v0.5.10.post1-cu130,sglang,0.5.10.post1,Qwen/Qwen3.5-397B-A17B,b300_sxm,fp4,agg,8192,1024,nvfp4,nvfp4,128,4,1,1,4,1,,,,,,,,,,,,,,,1564.6059759439595,28.992145186623684
qwen3_5_b300_sglang_fp4_agg_1024x1024_c8_cfg737,db-dump/2026-04-27; config_id=737; silicon_concurrency=8; measured=2026-04-18T00:00:00.000Z; workflow_run_id=765; lmsysorg/sglang:v0.5.10.post1-cu130,sglang,0.5.10.post1,Qwen/Qwen3.5-397B-A17B,b300_sxm,fp4,agg,1024,1024,nvfp4,nvfp4,8,4,1,1,4,1,,,,,,,,,,,,,,,165.0663231861472,7.154783453630781
qwen3_5_b300_sglang_fp4_agg_1024x1024_c16_cfg737,db-dump/2026-04-27; config_id=737; silicon_concurrency=16; measured=2026-04-18T00:00:00.000Z; workflow_run_id=765; lmsysorg/sglang:v0.5.10.post1-cu130,sglang,0.5.10.post1,Qwen/Qwen3.5-397B-A17B,b300_sxm,fp4,agg,1024,1024,nvfp4,nvfp4,16,4,1,1,4,1,,,,,,,,,,,,,,,259.47223735747684,8.64512522968536
qwen3_5_b300_sglang_fp4_agg_1024x1024_c4_cfg737,db-dump/2026-04-27; config_id=737; silicon_concurrency=4; measured=2026-04-18T00:00:00.000Z; workflow_run_id=765; lmsysorg/sglang:v0.5.10.post1-cu130,sglang,0.5.10.post1,Qwen/Qwen3.5-397B-A17B,b300_sxm,fp4,agg,1024,1024,nvfp4,nvfp4,4,4,1,1,4,1,,,,,,,,,,,,,,,168.22192327526864,6.155471049981825
qwen3_5_b300_sglang_bf16_agg_1024x1024_c4_cfg738,db-dump/2026-04-27; config_id=738; silicon_concurrency=4; measured=2026-04-18T00:00:00.000Z; workflow_run_id=766; lmsysorg/sglang:v0.5.10.post1-cu130,sglang,0.5.10.post1,Qwen/Qwen3.5-397B-A17B,b300_sxm,bf16,agg,1024,1024,,,4,8,1,1,8,1,,,,,,,,,,,,,,,155.740941480326,6.447519110015273
